time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-17 00:00:00+00:00,1,1,7.0,1.0
2025-11-18 00:00:00+00:00,66,14,8.0,4.0
2025-11-19 00:00:00+00:00,2,2,15.0,4.0
2025-11-20 00:00:00+00:00,42,12,146.0,17.0
2025-11-21 00:00:00+00:00,43,13,192.0,42.0
2025-11-22 00:00:00+00:00,40,16,188.0,15.0
2025-11-23 00:00:00+00:00,8,8,26.0,6.0
2025-11-24 00:00:00+00:00,4,4,23.0,3.0
2025-11-25 00:00:00+00:00,3,3,5.0,2.0
2025-11-26 00:00:00+00:00,2,2,77.0,61.0
2025-11-27 00:00:00+00:00,4,4,13.0,9.0
2025-11-28 00:00:00+00:00,3,3,2.0,2.0
2025-11-29 00:00:00+00:00,2,2,5.0,4.0
2025-11-30 00:00:00+00:00,4,4,1.0,1.0
2025-12-01 00:00:00+00:00,1,1,,
