time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-12 00:00:00+00:00,6.0,1.0,,
2025-11-13 00:00:00+00:00,8.0,6.0,20.0,2.0
2025-11-14 00:00:00+00:00,22.0,12.0,18.0,3.0
2025-11-15 00:00:00+00:00,3.0,3.0,6.0,6.0
2025-11-16 00:00:00+00:00,3.0,3.0,5.0,1.0
2025-11-17 00:00:00+00:00,3.0,3.0,7.0,1.0
2025-11-18 00:00:00+00:00,66.0,14.0,8.0,4.0
2025-11-19 00:00:00+00:00,2.0,2.0,15.0,4.0
2025-11-20 00:00:00+00:00,42.0,12.0,146.0,17.0
2025-11-21 00:00:00+00:00,43.0,13.0,192.0,42.0
2025-11-22 00:00:00+00:00,40.0,16.0,188.0,15.0
2025-11-23 00:00:00+00:00,8.0,8.0,26.0,6.0
2025-11-24 00:00:00+00:00,4.0,4.0,23.0,3.0
2025-11-25 00:00:00+00:00,3.0,3.0,5.0,2.0
2025-11-26 00:00:00+00:00,,,1.0,1.0
