time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-05 00:00:00+00:00,,,1,1
2025-11-06 00:00:00+00:00,14.0,7.0,2,2
2025-11-07 00:00:00+00:00,4.0,3.0,15,3
2025-11-08 00:00:00+00:00,15.0,7.0,60,19
2025-11-09 00:00:00+00:00,5.0,3.0,21,11
2025-11-10 00:00:00+00:00,7.0,4.0,22,5
2025-11-11 00:00:00+00:00,18.0,10.0,23,11
2025-11-12 00:00:00+00:00,8.0,3.0,2,1
2025-11-13 00:00:00+00:00,8.0,6.0,20,2
2025-11-14 00:00:00+00:00,22.0,12.0,18,3
2025-11-15 00:00:00+00:00,3.0,3.0,6,6
2025-11-16 00:00:00+00:00,3.0,3.0,5,1
2025-11-17 00:00:00+00:00,3.0,3.0,7,1
2025-11-18 00:00:00+00:00,66.0,14.0,8,4
