time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,27,9,122.0,12.0
2025-12-07 00:00:00+00:00,3,3,10.0,2.0
2025-12-08 00:00:00+00:00,11,7,1.0,1.0
2025-12-09 00:00:00+00:00,9,7,1.0,1.0
2025-12-10 00:00:00+00:00,3,3,4.0,3.0
2025-12-11 00:00:00+00:00,9,4,1.0,1.0
2025-12-12 00:00:00+00:00,8,4,1.0,1.0
2025-12-13 00:00:00+00:00,36,14,140.0,11.0
2025-12-14 00:00:00+00:00,9,5,1.0,1.0
2025-12-15 00:00:00+00:00,12,7,5.0,1.0
2025-12-16 00:00:00+00:00,2,2,5.0,1.0
2025-12-17 00:00:00+00:00,11,6,,
2025-12-18 00:00:00+00:00,28,12,135.0,10.0
2025-12-19 00:00:00+00:00,13,5,3.0,2.0
