url_path,views_total,views_unique
/abhijit-ubale/Tableau_Workbook_Generator,142,12
/abhijit-ubale/Tableau_Workbook_Generator/blob/main/Introducing_TDG.md,5,5
/abhijit-ubale/Tableau_Workbook_Generator/stargazers,4,1
/abhijit-ubale/Tableau_Workbook_Generator/tree/main/.github,2,1
/abhijit-ubale/Tableau_Workbook_Generator/tree/main/.github/workflows,2,1
/abhijit-ubale/Tableau_Workbook_Generator/blob/github-repo-stats/abhijit-ubale/Tableau_Workbook_Generator/latest-report/report.pdf,1,1
/abhijit-ubale/Tableau_Workbook_Generator/blob/main/.github/workflows/repostats.yaml,1,1
/abhijit-ubale/Tableau_Workbook_Generator/tree/github-repo-stats,1,1
/abhijit-ubale/Tableau_Workbook_Generator/tree/github-repo-stats/abhijit-ubale/Tableau_Workbook_Generator,1,1
/abhijit-ubale/Tableau_Workbook_Generator/tree/github-repo-stats/abhijit-ubale/Tableau_Workbook_Generator/latest-report,1,1
